vendor,symbol,prev_date,ex_date,cc_return,classification,p2_tier,factor_est,vol_gate_day,vol_gate_persist,gap_days,persistence,reason
databento-xnas,RIVN,2024-06-24,2024-06-25,0.627949,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RXDX,2022-12-06,2022-12-07,1.681002,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,RXDX,2023-04-14,2023-04-17,0.696693,repricing,NEAR,0.6,25.4939,4.2466,3,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,SAIL,2022-08-15,2025-02-13,-0.662784,repricing,NEAR,2.833333,214.3289,11.7518,913,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,SATS,2025-08-25,2025-08-26,0.847709,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,SCHD,2024-10-10,2024-10-11,-0.663205,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,SEZL,2023-08-17,2023-09-14,-0.830948,repricing,NEAR,3.625,,,28,untestable,p2-insufficient-volume-window
databento-xnas,SEZL,2025-03-28,2025-03-31,-0.836799,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,SHOP,2022-06-28,2022-06-29,-0.906231,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,SIRI,2024-09-09,2024-09-10,9.223881,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,SIVB,2023-03-08,2023-03-09,-0.56798,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,SIVB,2023-03-09,2023-03-10,-0.551653,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
